Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Powell-Pepper, Sam",PA,19,187,50,171,358,10,18, ,92,14,85,56,65,14,28,1,159,215,6,9,31,13,1
"Kelly, Jake",AD,22,214,114,142,356, ,1, ,60,52,19,7,42,13,16, ,112,240,14, ,106, ,3
"Marshall, Rowan",SK,20,198,83,157,355,8,2,569,69,24,66,110,66,36,37,7,227,143,21,9,49, ,6
"Lloyd, Sam",WB,23,250,119,104,354,38,31, ,54,16,61,15,55,14,16, ,120,233,16,40,18,2,14
"Castagna, Jason",RI,24,200,99,153,353,27,28, ,75,7,69,14,53,13,15,2,100,244,5,37,15,18,12
"Anderson, Jed",NM,17,146,44,204,350,6,3, ,93,14,50,63,50,9,18, ,164,190,4,3,26,1,5
"Tuohy, Zach",GE,18,252,78,98,350,3,10, ,17,75,37,2,40,7,8, ,95,205,6,5,18,10,1
"Perryman, Harry",GW,19,214,100,135,349,2,7, ,59,41,38,18,43,12,5, ,123,231,5,6,30, ,4
"Gray, Sam",PA,20,167,76,181,348,20,17, ,70,6,53,22,43,21,13,6,119,228,5,23,15,4,9
"Westhoff, Justin",PA,20,217,117,131,348,12,13,7,56,35,39,12,55,10,15,5,129,218,17,23,83, ,12
"Tarrant, Robbie",NM,22,231,137,116,347,1, , ,37,98,26,3,53,13,24,2,110,225,18, ,154, ,3
"Newnes, Jack",SK,20,218,89,128,346,5,10, ,53,42,62,34,58,10,20,1,118,229,2,8,24,7,13
"Aliir, Aliir",SY,22,222,104,124,346,1, ,93,44,65,39,33,74,21,35, ,143,195,19,3,119, ,5
"McGovern, Jeremy",WC,23,242,164,101,343,1,1,12,36,89,22,4,40,27,13, ,157,183,46,3,151,4,3
"Papley, Tom",SY,22,241,106,99,340,37,28, ,62,12,66,32,57,24,20,4,121,219,7,32,27,22,20
"Bonner, Riley",PA,19,247,82,93,340,5,5, ,27,54,68,15,47,5,18,2,84,241,3,1,40,6,4
"Redman, Mason",ES,20,231,89,109,340, ,2, ,61,52,29,11,53,17,20, ,101,229,10, ,60,9,4
"Rozee, Connor",PA,22,168,76,168,336,29,22, ,88,5,60,15,43,24,17,4,150,199,7,23,35,3,10
"Blicavs, Mark",GE,25,182,124,154,336, ,3,91,90,55,24,20,34,23,14, ,149,194,18,3,167,3,3
"Hughes, Ethan",FR,21,176,100,159,335,2,2, ,27,40,24,14,58,15,21, ,143,201,15,2,91, ,1
"Amon, Karl",PA,17,188,63,146,334,9,11, ,52,27,60,39,35,13,11,1,114,226,3,7,18,2,13
"Taylor, Harry",GE,24,186,114,145,331,3,2,2,40,64,28,8,38,14,12, ,148,182,21,4,121,2,4
"Hanley, Pearce",GC,16,220,76,108,328,1,1, ,37,79,40,20,51,9,15, ,86,205,3, ,18,19,3
"Lynch, Tom",AD,16,213,116,113,326,17,13, ,29,6,56,11,36,9,9, ,109,218,15,13,15,1,12
"Gardiner, Darcy",BL,24,239,112,87,326,1, , ,53,79,25,7,62,22,26, ,125,201,10,1,120, ,4
"Wilkie, Callum",SK,22,221,113,103,324, , ,1,42,74,19,4,43,7,24, ,103,189,21, ,83,2,1
"Hibberd, Michael",ME,19,197,75,127,324, ,2, ,29,82,40,8,52,16,13, ,102,214,6, ,58,2,3
